iter	MultiClass
0	1.78574637
1	1.780510644
2	1.776150992
3	1.772563009
4	1.768823706
5	1.765770638
6	1.76294461
7	1.760367837
8	1.758702824
9	1.756992916
10	1.755213883
11	1.754202447
12	1.753102081
13	1.751420329
14	1.750304663
15	1.749135191
16	1.747723045
17	1.7466123
18	1.745652991
19	1.74459181
20	1.743530054
21	1.74260552
22	1.741812665
23	1.74110126
24	1.739815607
25	1.739016967
26	1.738507133
27	1.738100358
28	1.737500749
29	1.736934497
30	1.73597561
31	1.735366944
32	1.734616642
33	1.734095746
34	1.733388516
35	1.732950519
36	1.732195071
37	1.73138571
38	1.730530844
39	1.730321581
40	1.729485969
41	1.729252424
42	1.728189491
43	1.727974858
44	1.7275488
45	1.726828358
46	1.726401327
47	1.725708362
48	1.725300379
49	1.724599589
50	1.724244018
51	1.723753548
52	1.722840483
53	1.722563819
54	1.72204036
55	1.72148849
56	1.721033723
57	1.720739967
58	1.72005837
59	1.719646276
60	1.718696308
61	1.718175887
62	1.717534678
63	1.71714142
64	1.716723619
65	1.71587617
66	1.715516641
67	1.715064398
68	1.714475266
69	1.714040327
70	1.713591093
71	1.713207242
72	1.712631648
73	1.712107503
74	1.711793175
75	1.710585169
76	1.710083809
77	1.709722852
78	1.709450501
79	1.709298284
80	1.708641451
81	1.708244495
82	1.707921193
83	1.707483243
84	1.706729599
85	1.706473271
86	1.706115994
87	1.705470185
88	1.704770062
89	1.704346637
90	1.703484106
91	1.702820343
92	1.702466863
93	1.702192525
94	1.701921631
95	1.701584885
96	1.701124551
97	1.70055527
98	1.699801101
99	1.699209185
