iter	Passed	Remaining
0	617	61130
1	1229	60266
2	1851	59852
3	2439	58546
4	3015	57303
5	3579	56080
6	4149	55134
7	4703	54092
8	5250	53091
9	5808	52278
10	6357	51439
11	6913	50697
12	7475	50027
13	8021	49275
14	8584	48645
15	9170	48147
16	9734	47525
17	10299	46920
18	10870	46343
19	11419	45679
20	11979	45065
21	12544	44475
22	13100	43859
23	13660	43257
24	14228	42686
25	14780	42066
26	15321	41423
27	15928	40959
28	16499	40395
29	17040	39760
30	17586	39144
31	18177	38626
32	18740	38049
33	19290	37445
34	19839	36844
35	20390	36249
36	20959	35688
37	21512	35098
38	22080	34536
39	22642	33963
40	23205	33392
41	23774	32831
42	24345	32271
43	24903	31695
44	25465	31124
45	26029	30555
46	26583	29977
47	27140	29402
48	27713	28844
49	28252	28252
50	28799	27669
51	29358	27100
52	29906	26521
53	30458	25946
54	31013	25374
55	31559	24796
56	32110	24223
57	32670	23657
58	33213	23080
59	33751	22501
60	34303	21931
61	34852	21361
62	35402	20792
63	35970	20233
64	36513	19661
65	37062	19092
66	37634	18536
67	38229	17990
68	38772	17419
69	39349	16864
70	39923	16306
71	40479	15741
72	41035	15177
73	41570	14605
74	42108	14036
75	42655	13470
76	43210	12906
77	43758	12342
78	44303	11776
79	44847	11211
80	45385	10646
81	45933	10083
82	46479	9519
83	47029	8957
84	47587	8397
85	48135	7835
86	48676	7273
87	49249	6715
88	49798	6154
89	50372	5596
90	50914	5035
91	51463	4475
92	52024	3915
93	52576	3355
94	53125	2796
95	53669	2236
96	54231	1677
97	54777	1117
98	55329	558
99	55880	0
